id,exclude,type,query,constraint,text,query_result,heading,format0,lat0,lng0,format1,lat1,lng1,format2,lat2,lng2,format3,lat3,lng3,format4,lat4,lng4,pitch
3364888471,0,frog,Boylston Street and Exeter Street,Boston,"Frog's Eye View, Boylston Street 50 Ft. Intervals, Exeter to Dartmouth Street, Ornamented Bay Window, 12:30 P.M. to 3:30 P.M.",1,357.8928489,,42.34980386,-71.07841461,,,,,,,,,,,,,17.92936965
3364938311,0,50ft_interval,Corner of Huntington Avenue and Blagden Street,Boston,"50 ft. Intervals, Corner of Huntington Avenue and Blagden Street, Trinity Church and Copley Square, Series on a Sunny Day",1,55.12109325,"Blagden St & Huntington Ave, Boston, MA 02116, USA",42.34901436,-71.07723836,,,,,,,,,,,,,7.200681017
3364938437,0,50ft_interval,"Huntington Avenue, Trinity Church",Boston,"50 ft. Intervals, Huntington Avenue, Trinity Church, Police Box at Right, Series on a Sunny Day",1,50.61796309,"206 Clarendon St, Boston, MA 02116, USA",42.3491425,-71.07709923,,,,,,,,,,,,,4.334330193
3364938707,0,50ft_interval,"Huntington Avenue, Trinity Church",Boston,"50 ft. Intervals, Huntington Avenue, Trinity Church, John Hancock Building on Right, Series on a Sunny Day",1,84.22881595,"206 Clarendon St, Boston, MA 02116, USA",42.34966956,-71.07713529,,,,,,,,,,,,,6.806252062
3364973271,0,50ft_interval,"Huntington Avenue, Trinity Church",Boston,"50 ft. Intervals, Huntington Avenue, Facing Trinity Church and Copley Square, Series in Snow",1,44.5138364,"206 Clarendon St, Boston, MA 02116, USA",42.34827284,-71.07840398,,,,,,,,,,,,,2.829451354
3364973441,0,50ft_interval,"Huntington Avenue, Trinity Church",Boston,"50 ft. Intervals, Huntington Avenue, Facing Trinity Church and Copley Square, Series in Snow",1,44.5138364,"206 Clarendon St, Boston, MA 02116, USA",42.34836692,-71.07829454,,,,,,,,,,,,,2.829451354
3364973751,0,50ft_interval,"Huntington Avenue, Trinity Church",Boston,"50 ft. Intervals, Huntington Avenue, Facing Trinity Church and Copley Square, Series in Snow",1,44.5138364,"206 Clarendon St, Boston, MA 02116, USA",42.34827284,-71.07840398,,,,,,,,,,,,,2.829451354
3364974079,0,50ft_interval,Corner of Huntington Avenue and Blagden Street,Boston,"50 ft. Intervals, Corner of Huntington Avenue and Blagden Street, Facing Trinity Church and Copley Square, Series in Snow",1,47.35782421,"Blagden St & Huntington Ave, Boston, MA 02116, USA",42.34877227,-71.07780201,,,,,,,,,,,,,10.41849621
3364974247,0,50ft_interval,Corner of Huntington Avenue and Blagden Street,Boston,"50 ft. Intervals, Approaching Corner of Huntington Avenue and Blagden Street, Facing Trinity Church and Copley Square, Series in Snow",1,47.35782421,"Huntington Ave & Blagden St, Boston, MA 02116, USA",42.34913786,-71.07732273,"Blagden St & Huntington Ave, Boston, MA 02116, USA",42.349144,-71.0773257,,,,,,,,,,10.41849621
3365014021,0,50ft_interval,Corner of Huntington Avenue and Blagden Street,Boston,"50 ft. Intervals, Corner of Huntington Avenue and Blagden Street, Trinity Church and Copley Square, Series in Snow",1,56.42079004,"Blagden St & Huntington Ave, Boston, MA 02116, USA",42.3489056,-71.07763863,,,,,,,,,,,,,10.89198813
