id,landmark_actual,landmark_predicted,lat0,lng0
3472009786,0,0,0.0,0.0
3441463813,0,1,42.3513845,-71.0554112
3420542137,0,0,42.3486861,-71.0718091
3440985895,0,0,42.3967172,-71.1223151
3420737543,0,1,42.3581721,-71.0623935
3423290639,0,0,42.36244463,-71.05144892
3450525175,0,1,42.3506815,-71.0830836
3401816968,0,0,0.0,0.0
3421429620,0,0,0.0,0.0
3364938707,0,0,42.34966956,-71.07713529
3442278492,0,1,42.3513845,-71.0554112
3401284955,0,1,42.3587772,-71.0638101
3382796488,0,0,42.34522456,-71.08634173
3420776043,0,1,42.3617561,-71.0599111
3427637310,0,0,42.349848,-71.075101
3364866469,0,0,42.34843215,-71.07821544
3381821789,0,1,42.3588422,-71.0578337
3451224796,0,0,0.0,0.0
3441372037,0,0,0.0,0.0
3427634116,0,0,42.349848,-71.075101
3421658278,0,1,42.3592353,-71.0593896
3421565690,0,0,0.0,0.0
3365014021,0,1,42.3489056,-71.07763863
3420799861,0,1,42.3581721,-71.0623935
3420644213,0,0,0.0,0.0
3445895980,0,0,0.0,0.0
3420850981,0,1,42.3581721,-71.0623935
3441745418,0,0,42.3628741,-71.0900971
3365760772,0,0,42.34976897,-71.07718311
3423645589,0,1,42.35141756,-71.11772474
3420623827,0,0,0.0,0.0
3403727867,0,1,42.3574758,-71.0617214
3365688766,0,0,42.3491425,-71.07709923
3403961375,0,0,0.0,0.0
3489874022,0,0,42.3432912,-71.1026167
3384343747,0,1,42.35986822,-71.06152605
3401169905,0,1,42.35007365,-71.07252312
3404772870,0,1,42.3568987,-71.0514773
3441373261,0,0,0.0,0.0
3382683236,0,1,42.3604802,-71.0590624
3423455101,0,0,42.3427153,-71.0848001
3365689012,0,1,42.34913786,-71.07732273
3407215081,0,1,42.349653,-71.0779348
3440984557,0,0,42.3738058,-71.0571158
3427570216,0,1,42.3499893,-71.0754961
3420849851,0,1,42.3581721,-71.0623935
3365688878,0,1,42.3491425,-71.07709923
3381626149,0,0,42.34988376,-71.07464017
3409605561,0,0,0.0,0.0
3384604785,0,0,42.3549544,-71.0654886
3451248944,0,0,0.0,0.0
